antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.297,0.301,0.08983333333333333,0.30246913580246915,1.0048808498420903,1.0,0.0004363333333333441,1.0021061946902656,0.006909164803901816,0.17677927189242376,0.002101767957752728,0.300459374102785
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.301,0.297,0.08983333333333333,0.2984496124031008,1.0048808498420903,1.0,0.0004363333333333441,1.0020662983425417,0.006948702227672356,0.17677927189242376,0.002062037557753655,0.300459374102785
frozenset({'Boat Stone 200 Bluetooth Speaker'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.29833333333333334,0.297,0.08416666666666667,0.28212290502793297,0.9499087711378215,1.0,-0.004438333333333336,0.9792762645914399,-0.06990021130180289,0.1646560156504728,-0.02116229725756332,0.28275617754202487
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Boat Stone 200 Bluetooth Speaker'}),0.297,0.29833333333333334,0.08416666666666667,0.28338945005611677,0.9499087711378216,1.0,-0.004438333333333336,0.9791464369616288,-0.06977688689750951,0.1646560156504728,-0.02129769588201887,0.28275617754202487
frozenset({'Dell Inspiron 3501 Laptop'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.2925,0.297,0.09016666666666667,0.3082621082621083,1.0379195564380752,1.0,0.0032941666666666813,1.0162808896210875,0.051638439481917625,0.18057409879839792,0.016020068651647693,0.3059267892601226
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Dell Inspiron 3501 Laptop'}),0.297,0.2925,0.09016666666666667,0.303591470258137,1.0379195564380752,1.0,0.0032941666666666813,1.0159266720386786,0.05196898425811767,0.18057409879839792,0.01567698976415124,0.3059267892601226
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'HP Pavilion 15 Laptop'}),0.297,0.2951666666666667,0.08766666666666667,0.29517396184062855,1.0000247154397353,1.0,2.1666666666642076e-06,1.0000103503184714,3.5156228872418705e-05,0.17376940865543442,1.0350211343385938e-05,0.29609065116311495
frozenset({'HP Pavilion 15 Laptop'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.2951666666666667,0.297,0.08766666666666667,0.29700734048560135,1.0000247154397353,1.0,2.1666666666642076e-06,1.0000104417670683,3.506478443695014e-05,0.17376940865543442,1.0441658038917847e-05,0.29609065116311495
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'JBL C200 Bass Earphones'}),0.297,0.30583333333333335,0.09533333333333334,0.3209876543209877,1.0495509133111314,1.0,0.004500833333333343,1.022318181818182,0.06715723820986992,0.18784893267651892,0.021830954604063885,0.31635213778719684
frozenset({'JBL C200 Bass Earphones'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.30583333333333335,0.297,0.09533333333333334,0.311716621253406,1.0495509133111314,1.0,0.004500833333333343,1.021381631037213,0.06801182011266059,0.18784893267651892,0.020934027387490756,0.31635213778719684
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Lenovo Tab M10 Tablet'}),0.297,0.2926666666666667,0.088,0.2962962962962963,1.0124019235636545,1.0,0.0010779999999999956,1.005157894736842,0.017425320056898935,0.17541528239202656,0.005131427374594147,0.29848983379735083
frozenset({'Lenovo Tab M10 Tablet'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.2926666666666667,0.297,0.088,0.30068337129840544,1.0124019235636548,1.0,0.0010779999999999956,1.0052671009771987,0.01731856738925535,0.17541528239202656,0.005239503980662101,0.29848983379735083
frozenset({'Mi Fast Charger 20W'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.30316666666666664,0.297,0.089,0.29356789444749865,0.9884440890488171,1.0,-0.0010404999999999859,0.9951416342412452,-0.016500507463948696,0.17411150961851973,-0.004882084711950698,0.2966155970553992
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Mi Fast Charger 20W'}),0.297,0.30316666666666664,0.089,0.2996632996632997,0.9884440890488171,1.0,-0.0010404999999999859,0.9949975961538464,-0.016358133867861276,0.17411150961851973,-0.005027553700119999,0.2966155970553992
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Samsung Galaxy A52 Smartphone'}),0.297,0.2946666666666667,0.08416666666666667,0.28338945005611677,0.9617289029053736,1.0,-0.003349333333333329,0.9842631166797181,-0.053573475584560236,0.16584564860426929,-0.015988492359002727,0.28451146710950637
frozenset({'Samsung Galaxy A52 Smartphone'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.2946666666666667,0.297,0.08416666666666667,0.2856334841628959,0.9617289029053735,1.0,-0.003349333333333329,0.9840886777513856,-0.05340571262539103,0.16584564860426929,-0.016168585828028555,0.28451146710950637
frozenset({'Amazfit Bip U Pro Smartwatch'}),frozenset({'Xiaomi Redmi Note 11 Smartphone'}),0.297,0.30233333333333334,0.09366666666666666,0.3153759820426487,1.043139962654847,1.0,0.003873666666666664,1.019050819672131,0.0588276982732873,0.1852340145023072,0.01869467086858391,0.3125942754755691
frozenset({'Xiaomi Redmi Note 11 Smartphone'}),frozenset({'Amazfit Bip U Pro Smartwatch'}),0.30233333333333334,0.297,0.09366666666666666,0.3098125689084895,1.043139962654847,1.0,0.003873666666666664,1.0185638977635783,0.05927740834131052,0.1852340145023072,0.01822556032502067,0.3125942754755691
frozenset({'Boat Stone 200 Bluetooth Speaker'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.29833333333333334,0.301,0.09133333333333334,0.30614525139664805,1.0170938584606248,1.0,0.0015350000000000086,1.0074154589371982,0.02395235535828853,0.1797900262467192,0.0073608746733162585,0.3047891262520339
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'Boat Stone 200 Bluetooth Speaker'}),0.301,0.29833333333333334,0.09133333333333334,0.3034330011074197,1.0170938584606248,1.0,0.0015350000000000086,1.007321144674086,0.02404373296575935,0.1797900262467192,0.007267935069956837,0.3047891262520339
frozenset({'Dell Inspiron 3501 Laptop'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.2925,0.301,0.0865,0.29572649572649573,0.9824800522474941,1.0,-0.0015425000000000022,0.9925121359223302,-0.024585101508178466,0.17061143984220908,-0.007544355183840141,0.2915509555044439
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'Dell Inspiron 3501 Laptop'}),0.301,0.2925,0.0865,0.287375415282392,0.9824800522474941,1.0,-0.0015425000000000022,0.9928088578088577,-0.02487662484275719,0.17061143984220908,-0.007243229282838107,0.2915509555044439
frozenset({'HP Pavilion 15 Laptop'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.2951666666666667,0.301,0.08483333333333333,0.28740824392998304,0.9548446642192128,1.0,-0.0040118333333333395,0.9809263074484944,-0.06287628097155108,0.1659061277705345,-0.019444572346233112,0.28462328032601036
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'HP Pavilion 15 Laptop'}),0.301,0.2951666666666667,0.08483333333333333,0.28183831672203763,0.9548446642192127,1.0,-0.0040118333333333395,0.9814410177332304,-0.06336774934055008,0.1659061277705345,-0.018909931347310085,0.28462328032601036
frozenset({'JBL C200 Bass Earphones'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.30583333333333335,0.301,0.096,0.31389645776566755,1.0428453746367692,1.0,0.003944166666666665,1.0187966640190629,0.059186174469787904,0.18792822185970637,0.018449868048165317,0.3164166674210398
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'JBL C200 Bass Earphones'}),0.301,0.30583333333333335,0.096,0.318936877076412,1.0428453746367694,1.0,0.003944166666666665,1.019239837398374,0.05877692338261005,0.18792822185970637,0.018876653651493856,0.3164166674210398
frozenset({'Lenovo Tab M10 Tablet'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.2926666666666667,0.301,0.08683333333333333,0.29669703872437353,0.9857044475892809,1.0,-0.0012593333333333345,0.9938817813765182,-0.020091647979578648,0.17132522196645839,-0.006155881653256738,0.29258993685941825
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'Lenovo Tab M10 Tablet'}),0.301,0.2926666666666667,0.08683333333333333,0.2884828349944629,0.985704447589281,1.0,-0.0012593333333333345,0.9941198443579767,-0.020326307719208594,0.17132522196645839,-0.005914936388600986,0.29258993685941825
frozenset({'Mi Fast Charger 20W'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.30316666666666664,0.301,0.08216666666666667,0.2710280373831776,0.9004253733660386,1.0,-0.009086499999999983,0.9588846153846156,-0.13696251005402457,0.1574074074074074,-0.042878344230074944,0.2720034982043241
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'Mi Fast Charger 20W'}),0.301,0.30316666666666664,0.08216666666666667,0.27297895902547065,0.9004253733660385,1.0,-0.009086499999999983,0.9584775323686215,-0.13659596217735728,0.1574074074074074,-0.04332127382137669,0.2720034982043241
frozenset({'Samsung Galaxy A52 Smartphone'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.2946666666666667,0.301,0.083,0.2816742081447964,0.9357947114445063,1.0,-0.005694666666666667,0.973096062992126,-0.08865042135414507,0.16189856957087126,-0.027647770894425765,0.2787108582252221
frozenset({'Anker PowerCore 10K Powerbank'}),frozenset({'Samsung Galaxy A52 Smartphone'}),0.301,0.2946666666666667,0.083,0.27574750830564787,0.9357947114445063,1.0,-0.005694666666666667,0.9738776758409787,-0.0893818505244984,0.16189856957087126,-0.026823003347380175,0.2787108582252221
frozenset({'Xiaomi Redmi Note 11 Smartphone'}),frozenset({'Anker PowerCore 10K Powerbank'}),0.30233333333333334,0.301,0.08833333333333333,0.2921719955898567,0.9706710816938761,1.0,-0.0026690000000000047,0.9875280373831777,-0.041510992524185004,0.17152103559870555,-0.012629476981607022,0.29281910964431923
