product,recommended_product,product_category,recommended_category,type,lift,confidence,support
Amazfit Bip U Pro Smartwatch,Anker PowerCore 10K Powerbank,Smartwatch,Powerbank,cross_category,1.0048808498420903,0.30246913580246915,0.08983333333333333
Anker PowerCore 10K Powerbank,Amazfit Bip U Pro Smartwatch,Powerbank,Smartwatch,cross_category,1.0048808498420903,0.2984496124031008,0.08983333333333333
Amazfit Bip U Pro Smartwatch,Boat Stone 200 Bluetooth Speaker,Smartwatch,Speaker,cross_category,0.9499087711378216,0.28338945005611677,0.08416666666666667
Boat Stone 200 Bluetooth Speaker,Amazfit Bip U Pro Smartwatch,Speaker,Smartwatch,cross_category,0.9499087711378215,0.28212290502793297,0.08416666666666667
Amazfit Bip U Pro Smartwatch,Dell Inspiron 3501 Laptop,Smartwatch,Laptop,cross_category,1.0379195564380752,0.303591470258137,0.09016666666666667
Dell Inspiron 3501 Laptop,Amazfit Bip U Pro Smartwatch,Laptop,Smartwatch,cross_category,1.0379195564380752,0.3082621082621083,0.09016666666666667
Amazfit Bip U Pro Smartwatch,HP Pavilion 15 Laptop,Smartwatch,Laptop,cross_category,1.0000247154397353,0.29517396184062855,0.08766666666666667
HP Pavilion 15 Laptop,Amazfit Bip U Pro Smartwatch,Laptop,Smartwatch,cross_category,1.0000247154397353,0.29700734048560135,0.08766666666666667
Amazfit Bip U Pro Smartwatch,JBL C200 Bass Earphones,Smartwatch,Earphones,cross_category,1.0495509133111314,0.3209876543209877,0.09533333333333334
JBL C200 Bass Earphones,Amazfit Bip U Pro Smartwatch,Earphones,Smartwatch,cross_category,1.0495509133111314,0.311716621253406,0.09533333333333334
Amazfit Bip U Pro Smartwatch,Lenovo Tab M10 Tablet,Smartwatch,Tablet,cross_category,1.0124019235636545,0.2962962962962963,0.088
Lenovo Tab M10 Tablet,Amazfit Bip U Pro Smartwatch,Tablet,Smartwatch,cross_category,1.0124019235636548,0.30068337129840544,0.088
Amazfit Bip U Pro Smartwatch,Mi Fast Charger 20W,Smartwatch,Charger,cross_category,0.9884440890488171,0.2996632996632997,0.089
Mi Fast Charger 20W,Amazfit Bip U Pro Smartwatch,Charger,Smartwatch,cross_category,0.9884440890488171,0.29356789444749865,0.089
Amazfit Bip U Pro Smartwatch,Samsung Galaxy A52 Smartphone,Smartwatch,Smartphone,cross_category,0.9617289029053736,0.28338945005611677,0.08416666666666667
Samsung Galaxy A52 Smartphone,Amazfit Bip U Pro Smartwatch,Smartphone,Smartwatch,cross_category,0.9617289029053735,0.2856334841628959,0.08416666666666667
Amazfit Bip U Pro Smartwatch,Xiaomi Redmi Note 11 Smartphone,Smartwatch,Smartphone,cross_category,1.043139962654847,0.3153759820426487,0.09366666666666666
Xiaomi Redmi Note 11 Smartphone,Amazfit Bip U Pro Smartwatch,Smartphone,Smartwatch,cross_category,1.043139962654847,0.3098125689084895,0.09366666666666666
Anker PowerCore 10K Powerbank,Boat Stone 200 Bluetooth Speaker,Powerbank,Speaker,cross_category,1.0170938584606248,0.3034330011074197,0.09133333333333334
Boat Stone 200 Bluetooth Speaker,Anker PowerCore 10K Powerbank,Speaker,Powerbank,cross_category,1.0170938584606248,0.30614525139664805,0.09133333333333334
Dell Inspiron 3501 Laptop,Anker PowerCore 10K Powerbank,Laptop,Powerbank,cross_category,0.9824800522474941,0.29572649572649573,0.0865
Anker PowerCore 10K Powerbank,Dell Inspiron 3501 Laptop,Powerbank,Laptop,cross_category,0.9824800522474941,0.287375415282392,0.0865
HP Pavilion 15 Laptop,Anker PowerCore 10K Powerbank,Laptop,Powerbank,cross_category,0.9548446642192128,0.28740824392998304,0.08483333333333333
Anker PowerCore 10K Powerbank,HP Pavilion 15 Laptop,Powerbank,Laptop,cross_category,0.9548446642192127,0.28183831672203763,0.08483333333333333
JBL C200 Bass Earphones,Anker PowerCore 10K Powerbank,Earphones,Powerbank,cross_category,1.0428453746367692,0.31389645776566755,0.096
Anker PowerCore 10K Powerbank,JBL C200 Bass Earphones,Powerbank,Earphones,cross_category,1.0428453746367694,0.318936877076412,0.096
Anker PowerCore 10K Powerbank,Lenovo Tab M10 Tablet,Powerbank,Tablet,cross_category,0.985704447589281,0.2884828349944629,0.08683333333333333
Lenovo Tab M10 Tablet,Anker PowerCore 10K Powerbank,Tablet,Powerbank,cross_category,0.9857044475892809,0.29669703872437353,0.08683333333333333
Anker PowerCore 10K Powerbank,Mi Fast Charger 20W,Powerbank,Charger,cross_category,0.9004253733660385,0.27297895902547065,0.08216666666666667
Mi Fast Charger 20W,Anker PowerCore 10K Powerbank,Charger,Powerbank,cross_category,0.9004253733660386,0.2710280373831776,0.08216666666666667
